Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula ladrão seu lugar é na prisão em plena propaganda eleitoral na Marquês de Sapucaí,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/19/falso-video-lula-vaiado-sapucai.htm,Falso,2026-02-19 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTVAPV6eKTGdlxnAxW2NSrMJiI4jbqwLgNxOyOeOfMtE_qzi05s,"['Sambódromo Marquês de Sapucaí', 'Luiz Inácio Lula da Silva', 'Campanha eleitoral', 'Eleição', 'Propaganda', 'Prisão']"
"Judiciário brasileiro é eleito o segundo mais corrupto e injusto do mundo, segundo ranking global",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/01/27/enganoso-judiciario-brasileiro-segundo-mais-corrupto-do-mundo.htm,Distorcido,2026-01-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTuIM6xPeOZMY5kkaHPL5UztJkrN4PX3GkG1rkgbSBIsUx8Ga_Y,"['Corrupção', 'Poder judiciário', 'Mundo', 'Eleição']"
"Judiciário brasileiro é eleito o 2º mais corrupto e injusto do mundo, segundo ranking global",Checamos,https://checamos.afp.com/doc.afp.com.943D264,Enganoso,2026-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9vKgHtLFBjVRTDxDDA1RZXArMVo-dfAHgizINVbwz5Y7UcUC5,"['Corrupção', 'Poder judiciário', 'Eleição', 'Mundo']"
"Eleitora diz que votaram em seu lugar nas eleições de 2022, quando estava fora do país.",Aosfatos.org,https://www.aosfatos.org/noticias/nao-e-verdade-tse-contabilizou-voto-eleitora-ausente-2022/,falso,2026-01-16 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQioBcwD_3vB-l3eQK_KR5uOUWMfqS02YqWfMpwi-p3pFruXL7a,"['Eleitor', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Mulher que mora nos EUA descobriu registro de voto nas eleições de 2022 no Brasil,Estadão,https://www.estadao.com.br/estadao-verifica/mulher-que-mora-nos-eua-tem-registro-de-voto-em-2022-enganoso/,Enganoso,2026-01-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSMhQpv4da1O_uC-uKKGWkNtrJoY4h5wgLIt0X-GlCRFFfpWPf_,"['Votação', 'Eleição', 'Eleições presidenciais brasileiras, 2022', 'Estados Unidos', '2022', 'Brasil', 'Eleições gerais brasileiras, 2022']"
Flávio Bolsonaro assume liderança em pesquisa sobre eleições de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.89PM7T3,Falso,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9VJaZL7yrIZ0cpBZ3sZ557suH0W1iHe_8FF_fd86m5s2bZXF-,"['Flávio Bolsonaro', 'Eleição', '2026', 'Pesquisa', 'Liderança']"
Publicar esta foto onde está a líder da oposição junto al Presidente eleito Edmundo González que estão em Oslo é uma honra.,Observador,https://observador.pt/factchecks/fact-check-fotografia-mostra-maria-corina-machado-com-edmundo-gonzalez-no-grand-hotel-de-oslo/,Errado,2025-12-29 08:00:00,,"['Edmundo González Urrutia', 'Oslo', 'Fotografia', 'Eleição', 'presidente eleito', 'Presidente', 'Oposição', 'Honra', 'Liderança']"
Lula promete que não vai mais enganar o povo se for eleito novamente,AFP Checamos,https://checamos.afp.com/doc.afp.com.88VA6T3,Enganoso,2025-12-22 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT56iOQkgI4LydByvdOAso0xNwvNCCn3wYW2DqOTtcIzAQWE2nn,"['Luiz Inácio Lula da Silva', 'O Povo', 'Eleição']"
"Lula promete que, se for eleito de novo, 'não vai enganar o povo mais uma vez'",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/19/frase-de-lula-sobre-nao-enganar-o-povo-era-sobre-frente-ampla-em-2020.htm,Distorcido,2025-12-19 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQW2ko52xuunFtil0okh9fFGkZoYEQKHZ0K6HhNZgmh0rv4HIwf,"['Luiz Inácio Lula da Silva', 'Engano', 'Povo', 'Eleição']"
Lula perdeu todas as eleições com votação manual e nunca perdeu eleição com urna eletrônica,AFP Checamos,https://checamos.afp.com/doc.afp.com.88868T3,Enganoso,2025-12-15 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPx91vlwuNv1FS1LQFgYoKlst6XbPJyqt1S6uQUczFCfzGI_0s,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica']"
