Claim|Source Name|Source URL|Verdict|Review Publication Date|Image URL|Tags
ELEIÇÃO SEM INTERNET: LULA PEDE AO TSE PARA PROIBIR VÍDEOS DURANTE ELEIÇÕES|AFP CHECAMOS|HTTPS://CHECAMOS.AFP.COM/DOC.AFP.COM.A7BG6T4|FALSO|2026-04-09 07:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCR8FGPCTDWFOGH9OESY9M7XI0IEV6YCJ_SCMHOTHGTPXW5EJL5M|['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Eleição', 'Internet', 'Vídeo']
ÁUDIO GRAMPEADO DE LULA EXIGE PRISÃO E INELEGIBILIDADE DE FLÁVIO BOLSONARO ANTES DAS ELEIÇÕES|ESTADÃO|HTTPS://WWW.ESTADAO.COM.BR/ESTADAO-VERIFICA/AUDIO-FALSO-LULA-PRISAO-FLAVIO-BOLSONARO-ELEICOES/|FALSO|2026-03-25 07:00:00|HTTPS://ENCRYPTED-TBN3.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRUDO7TX7UFOS7RTGSRYKAK0AYPKS3WFTM430LUOBF5G8IQ-ZTT|['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Inelegibilidade', 'Eleição', 'Prisão']
2022: MINISTROS DO TSE CONSIDERAM CRIME DIMINUIR PREÇO DE COMBUSTÍVEL EM ANO ELEITORAL. 2026: ENTENDA O PACOTE DE LULA PARA REDUZIR O PREÇO DO DIESEL|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/CONFERE/ULTIMAS-NOTICIAS/2026/03/20/TSE-NAO-DECIDIU-QUE-REDUZIR-COMBUSTIVEL-EM-ANO-ELEITORAL-E-CRIME.GHTM|FALSO|2026-03-20 07:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRB87IVWN8DNVUAC4Z5Q2XTKGFPD7MADTRD08JEELQJGUQSNB0T|['Crime', 'Combustível', 'Eleição', 'Ministro do Tribunal Superior Eleitoral do Brasil', 'Ministro', 'Luiz Inácio Lula da Silva', '2022', 'Diesel', 'Preço', '2026']
FLÁVIO BOLSONARO DIZ QUE SE FOR ELEITO CRIARÁ UMA LEI DE REDUÇÃO DE SALÁRIO|AFP CHECAMOS|HTTPS://CHECAMOS.AFP.COM/DOC.AFP.COM.A3YK4CQ|FALSO|2026-03-19 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQVGNHXSWMK_QBL4L-QVHALXUQKJSPW-W66JQPSDXPUK2QBOGUE|['Flávio Bolsonaro', 'Salário', 'Eleição', 'Lei']
LULA LADRÃO SEU LUGAR É NA PRISÃO EM PLENA PROPAGANDA ELEITORAL NA MARQUÊS DE SAPUCAÍ|BOL - UOL|HTTPS://WWW.BOL.UOL.COM.BR/NOTICIAS/2026/02/19/FALSO-VIDEO-LULA-VAIADO-SAPUCAI.HTM|FALSO|2026-02-19 08:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQ4BBJH1E0H5LEX-D1NL2AV8DRHTB-LIO2D__OS83ZF_PNOTEHN|['Sambódromo Marquês de Sapucaí', 'Luiz Inácio Lula da Silva', 'Eleição', 'Campanha eleitoral', 'Propaganda', 'Prisão']
JUDICIÁRIO BRASILEIRO É ELEITO O SEGUNDO MAIS CORRUPTO E INJUSTO DO MUNDO, SEGUNDO RANKING GLOBAL|BOL - UOL|HTTPS://WWW.BOL.UOL.COM.BR/NOTICIAS/2026/01/27/ENGANOSO-JUDICIARIO-BRASILEIRO-SEGUNDO-MAIS-CORRUPTO-DO-MUNDO.HTM|FALSO|2026-01-27 08:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCROKPCH-Q26GOKEGO9B9BMUGDZU7JIRRJFA101OUK_3LVE5EUQZ|['Corrupção', 'Poder judiciário', 'Eleição', 'Mundo']
JUDICIÁRIO BRASILEIRO É ELEITO O 2º MAIS CORRUPTO E INJUSTO DO MUNDO, SEGUNDO RANKING GLOBAL|AFP CHECAMOS|HTTPS://CHECAMOS.AFP.COM/DOC.AFP.COM.943D264|FALSO|2026-01-26 08:00:00|HTTPS://ENCRYPTED-TBN3.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQQCWIRQ5GKI6AS1SDEBSABNRPEEIKUI32ZFVTHHUNHRTYHUPR0|['Corrupção', 'Poder judiciário', 'Ordenação', 'Eleição', 'Mundo']
ELEITORA DIZ QUE VOTARAM EM SEU LUGAR NAS ELEIÇÕES DE 2022, QUANDO ESTAVA FORA DO PAÍS.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/NAO-E-VERDADE-TSE-CONTABILIZOU-VOTO-ELEITORA-AUSENTE-2022/|FALSO|2026-01-16 08:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQIOBCWD_3VB-L3EQK_KR5UOUWMFQS02YQWFMPWI-P3PFRUXL7A|['Eleitor', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']
MULHER QUE MORA NOS EUA DESCOBRIU REGISTRO DE VOTO NAS ELEIÇÕES DE 2022 NO BRASIL|ESTADÃO|HTTPS://WWW.ESTADAO.COM.BR/ESTADAO-VERIFICA/MULHER-QUE-MORA-NOS-EUA-TEM-REGISTRO-DE-VOTO-EM-2022-ENGANOSO/|FALSO|2026-01-13 08:00:00|HTTPS://ENCRYPTED-TBN3.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSMHQPV4DA1O_UC-UKKGWKNTRJOY4H5WGLIT0X-GLCRFFFPWPF_|['Votação', 'Eleição', 'Estados Unidos', 'Eleições presidenciais brasileiras, 2022', '2022', 'Brasil', 'Eleições gerais brasileiras, 2022']
DEPOIMENTO DE MIKE BENZ DEIXA CLARO QUE BRASIL FOI VÍTIMA DE GOLPE DE ESTADO|ESTADÃO|HTTPS://WWW.ESTADAO.COM.BR/ESTADAO-VERIFICA/MIKE-BENZ-NAO-PROVOU-FRAUDE-ELEICOES/|FALSO|2026-02-05 08:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQDZVN2TOCG-UY5TVQSOYRXYTXYEJY8OWCQOJQMNQDQ_4LTYMC1|['Brasil', 'Estado', 'Golpe de Estado', 'Vítima']
